"id","k","c1","c2","lt","unitVolume","initialStock"
1,44.61,4.3,114.04,5,0.0287,1409
2,771.08,11.99,1051.14,9,0.1778,2659
3,129.86,10.06,476.67,6,0.4389,2283
4,60.25,2.9,22.5,4,0.3826,1885
5,254.71,12.34,751.54,9,0.5792,1263
6,304.1,12.17,692.39,6,0.1444,3342
7,50.63,5.43,356.43,4,0.3128,1251
8,83.25,3.99,380.55,6,0.1098,2476
9,176.47,6.88,190.11,5,0.3721,1729
10,108.74,9.24,319.34,5,0.4703,1529
11,75.69,9.1,564.74,4,0.6194,415
12,404.08,6.19,180.39,8,0.1712,4644
13,27.65,4.32,209.23,6,0.0782,1102
14,302,10.44,177.95,6,0.3417,1051
15,43.35,5.25,388.15,6,0.7698,1147
16,102.12,10.84,88.06,5,0.022,716
17,118.17,6.88,66.67,3,0.3271,1143
18,131.26,13.1,127.5,6,0.1764,989
19,142.79,7.56,255.78,4,0.1375,1454
20,161.44,10.84,137.48,4,0.3824,1668
21,80.54,6.38,38.34,5,0.5697,1929
22,30.95,10.74,318.21,3,0.288,354
23,66.28,2.9,157.91,4,0.1302,2303
24,80.38,4.58,438.92,6,0.2643,1129
25,98.58,6.67,29.32,6,0.4611,3067
26,26.34,5.31,38.91,4,0.237,809
27,73.66,5.94,190.12,6,0.3463,2487
28,197.69,9.61,46.7,5,0.3141,2040
29,129.06,12.38,510.65,4,0.8336,918
30,292.95,13.28,357.43,4,0.0643,1886
31,104.95,13.37,159.24,3,1.035,686
32,47.75,7.36,61.31,3,0.4276,821
33,56.9,4.71,437.76,4,0.2883,934
34,20.8,1.29,17.42,4,0.4442,1671
35,133.32,7.97,132.11,3,0.7266,2083
36,660.68,10.07,547.45,5,0.0153,3506
37,12.67,1.17,115.74,3,0.6216,1142
38,80.52,12.07,239.59,3,1.5098,300
39,207.82,9.77,222.32,3,0.1472,1035
40,13.07,2.75,53.87,5,1.3348,424
41,26.26,7.24,397.56,3,1.988,631
42,342.91,7.07,111.17,5,0.3177,2567
43,41.65,1.96,58.52,4,0.3617,2099
44,191.72,4.36,390.48,8,0.3966,2857
45,285.95,12.55,91.4,5,0.0108,1230
46,45.74,7.74,92.13,4,0.9627,854
47,11.09,2.97,65.44,4,0.699,212
48,498.03,11.44,631.52,7,0.3498,2316
49,61.03,5.84,381.96,3,0.5453,1181
50,105.14,7.08,276.34,4,0.058,1790
51,203.26,9.98,454.07,8,0.1281,1350
52,225.79,1.66,38.31,9,0.181,7346
53,89.91,8.79,105.12,7,1.1767,695
54,77.26,9.89,863.74,6,0.4905,946
55,40.07,6.95,559.02,3,1.6038,718
56,14.19,5.34,291.64,3,1.6486,241
57,28.38,13.08,68.47,3,1.8401,284
58,218.19,9.67,888.56,5,0.1366,2726
59,45.83,8.62,399.11,5,0.6305,1152
60,244.21,9.96,372.06,3,0.7083,1208
61,79.8,8.41,340.87,4,0.6394,838
62,53.59,4.38,339.21,4,0.4393,1391
63,24.53,1.79,78.7,5,0.5697,1401
64,25.28,5.79,346.76,4,1.7893,574
65,105.53,5.45,59.49,6,0.6811,2258
66,18.81,2.24,68.5,4,1.1481,580
67,37.25,2.1,72.83,4,0.4063,1625
68,19.63,1.03,79.81,3,0.4973,1464
69,205.99,5.37,237.43,10,0.7057,1068
70,33.73,4.21,383.5,3,0.8822,953
71,475.66,3.45,70.19,12,0.1677,5604
72,185.27,4.27,203.83,8,0.1839,2708
73,164.84,12.01,803.49,6,0.7216,1239
74,180.9,11.83,924.56,5,0.4239,2236
75,197.64,12.15,474.17,3,0.1001,1725
76,95.15,8.15,364.01,3,0.6514,1102
77,48.94,4.25,181.2,4,0.0213,1294
78,141.9,10.8,848.82,4,0.5424,737
79,850.55,6.74,438.49,9,0.288,4006
80,96.77,7.56,502.09,5,0.3243,2194
81,52.11,9.48,374.27,4,1.3211,857
82,106.24,9.92,48.07,3,0.4003,2157
83,28.31,2.9,37.52,6,0.5357,1355
84,327.98,12.62,419.68,8,0.1056,1476
